start values, python addition, python multiplication
5.38018616002e-32,1.076037232e-31,2.89464031165e-63,rip
8.87042736235e-32,1.77408547247e-31,7.86844815908e-63,rip
1.46248622725e-31,2.9249724545e-31,2.1388659649e-62,rip
2.41123215098e-31,4.82246430195e-31,5.8140404859e-62,rip
3.97544973591e-31,7.95089947182e-31,1.58042006027e-61,rip
6.55440854019e-31,1.31088170804e-30,4.29602713117e-61,rip
1.08063927771e-30,2.16127855541e-30,1.16778124852e-60,rip
1.78167296311e-30,3.56334592622e-30,3.17435854748e-60,rip
2.93748211171e-30,5.87496422342e-30,8.62880115662e-60,rip
4.84308923988e-30,9.68617847976e-30,2.34555133854e-59,rip
7.98490424569e-30,1.59698084914e-29,6.37586958128e-59,rip
1.31648814744e-29,2.63297629487e-29,1.73314104234e-58,rip
2.1705220113e-29,4.34104402261e-29,4.71116580155e-58,rip
3.57858580856e-29,7.15717161712e-29,1.28062763892e-57,rip
5.9000905416e-29,1.18001810832e-28,3.4811068399e-57,rip
9.72760477499e-29,1.945520955e-28,9.46262946584e-57,rip
1.60381089055e-28,3.2076217811e-28,2.57220937264e-56,rip
2.64423712943e-28,5.28847425886e-28,6.99198999665e-56,rip
4.35961000006e-28,8.71922000013e-28,1.90061993527e-55,rip
7.18778173906e-28,1.43755634781e-27,5.16642063284e-55,rip
1.18506486423e-27,2.37012972847e-27,1.40437873244e-54,rip
1.95384164882e-27,3.90768329764e-27,3.81749718867e-54,rip
3.22134028599e-27,6.44268057199e-27,1.03770332382e-53,rip
5.31109224968e-27,1.06221844994e-26,2.82077008846e-53,rip
8.7565107627e-27,1.75130215254e-26,7.66764807372e-53,rip
1.44370455516e-26,2.88740911031e-26,2.08428284258e-52,rip
2.38026640869e-26,4.76053281739e-26,5.66566817636e-52,rip
3.92439585795e-26,7.84879171589e-26,1.54008828499e-51,rip
6.47023492565e-26,1.29404698513e-25,4.1863939993e-51,rip
1.06676139483e-25,2.13352278967e-25,1.13797987351e-50,rip
1.75879220242e-25,3.51758440485e-25,3.09335001131e-50,rip
2.89975811488e-25,5.79951622976e-25,8.4085971248e-50,rip
4.78089288389e-25,9.56178576777e-25,2.28569367672e-49,rip
