start values, python addition, python multiplication
1.00176802735e+38,2.00353605469e+38,1.00353918061e+76,0100011010010110
1.65163625499e+38,3.30327250999e+38,2.72790231881e+76,0100011011111000
2.72308782507e+38,5.44617565014e+38,7.41520730303e+76,0100011101001100
4.48961281917e+38,8.97922563835e+38,2.01566232661e+77,0100011110101000
7.40212015218e+38,1.48042403044e+39,5.47913827473e+77,0100100000001011
1.22040329432e+39,2.44080658864e+39,1.48938420078e+78,0100100001100101
2.01210487017e+39,4.02420974035e+39,4.04856600858e+78,0100100010111101
3.31740009834e+39,6.63480019667e+39,1.10051434124e+79,0100100100011011
5.46946810555e+39,1.09389362111e+40,2.99150813576e+79,0100100110000000
9.01762840503e+39,1.80352568101e+40,8.13176220513e+79,0100100111010100
1.48675557626e+40,2.97351115253e+40,2.21044214355e+80,0100101000101110
2.45124554292e+40,4.90249108584e+40,6.00860471169e+80,0100101010010000
4.04142066632e+40,8.08284133264e+40,1.63330810022e+81,0100101011101101
6.66317621641e+40,1.33263524328e+41,4.43979172909e+81,0100101101000011
1.09857203584e+41,2.19714407168e+41,1.20686051793e+82,0100101110100001
1.81123908289e+41,3.62247816578e+41,3.28058701538e+82,0100110000000101
2.98622840228e+41,5.97245680457e+41,8.9175600706e+82,0100110001011011
4.92345828601e+41,9.84691657202e+41,2.42404414941e+83,0100110010110100
8.11741040155e+41,1.62348208031e+42,6.58923516272e+83,0100110100010101
1.3383347192e+42,2.67666943841e+42,1.79113982063e+84,0100110101110101
2.20654091887e+42,4.41308183774e+42,4.86882282664e+84,0100110111001010
3.63797094761e+42,7.27594189522e+42,1.32348326156e+85,0100111000100111
5.99800008351e+42,1.1996000167e+43,3.59760050018e+85,0100111010001001
9.88903031935e+42,1.97780606387e+43,9.7792920657e+85,0100111011100011
1.63042546341e+43,3.26085092682e+43,2.65828719174e+86,0100111100111011
2.68811714182e+43,5.37623428363e+43,7.22597376813e+86,0100111110011010
4.43195590985e+43,8.86391181969e+43,1.96422331868e+87,0100111111111110
7.30705997937e+43,1.46141199587e+44,5.33931255421e+87,0101000001010001
1.20473052143e+44,2.40946104285e+44,1.45137562926e+88,0101000010101100
1.98626483614e+44,3.97252967228e+44,3.94524799928e+88,0101000100001110
3.27479708458e+44,6.54959416917e+44,1.07242959452e+89,0101000101101010
5.39922761058e+44,1.07984552212e+45,2.91516587909e+89,0101000111000001
8.90182140691e+44,1.78036428138e+45,7.92424243606e+89,0101001000011111
1.46766223016e+45,2.93532446031e+45,2.15403242182e+90,0101001010000011
2.41976593706e+45,4.83953187412e+45,5.85526719016e+90,0101001011011001
3.98951957055e+45,7.97903914109e+45,1.59162664038e+91,0101001100110010
6.57760577584e+45,1.31552115517e+46,4.32648977423e+91,0101001110010011
1.08446385529e+46,2.16892771058e+46,1.17606185343e+92,0101001111110011
1.78797862552e+46,3.57595725104e+46,3.19686756532e+92,0101010001001000
2.94787839146e+46,5.89575678291e+46,8.68998701081e+92,0101010010100101
4.86022980743e+46,9.72045961486e+46,2.3621833781e+93,0101010100001000
8.013164264e+46,1.6026328528e+47,6.42108015219e+93,0101010101100000
1.32114743677e+47,2.64229487353e+47,1.74543054968e+94,0101010110111001
2.17820388073e+47,4.35640776146e+47,4.74457214602e+94,0101011000011000
3.59125107008e+47,7.18250214016e+47,1.28970842483e+95,0101011001111011
5.92097202766e+47,1.18419440553e+48,3.50579097524e+95,0101011011001111
9.76203252523e+47,1.95240650505e+48,9.52972790237e+95,0101011100101010
1.60948706696e+48,3.21897413392e+48,2.59044861872e+96,0101011110001100
2.65359556222e+48,5.30719112443e+48,7.04156940781e+96,0101011111101000
4.37503944726e+48,8.75007889452e+48,1.91409701651e+97,0101100000111111
7.21322059685e+48,1.44264411937e+49,5.20305513788e+97,0101100010011101
1.18925902283e+49,2.37851804566e+49,1.41433702338e+98,0101100100000010
1.96075664731e+49,3.92151329462e+49,3.84456662997e+98,0101100101010110
3.23274119108e+49,6.46548238217e+49,1.04506156085e+99,0101100110110000
5.32988916441e+49,1.06597783288e+50,2.84077185049e+99,0101101000010001
8.78750163584e+49,1.75750032717e+50,7.72201849998e+99,0101101001110000
1.44881408633e+50,2.89762817266e+50,2.09906225675e+100,0101101011000110
2.38869060142e+50,4.77738120285e+50,5.70584278934e+100,0101101100100011
3.93828500369e+50,7.87657000738e+50,1.55100887703e+101,0101101110000110
6.49313425566e+50,1.29862685113e+51,4.21607924621e+101,0101101111011110
1.07053685608e+51,2.14107371217e+51,1.14604916023e+102,0101110000110111
1.76501688569e+51,3.53003377138e+51,3.11528460678e+102,0101110010010110
2.91002088258e+51,5.82004176517e+51,8.46822153708e+102,0101110011111000
4.7978133273e+51,9.5956266546e+51,2.30190127236e+103,0101110101001101
7.91025688557e+51,1.58205137711e+52,6.25721639957e+103,0101110110101001
